mode	state	drug_a	drug_b	drug_c	residual_integrase	residual_rdf	incomplete_previous_transition	lost_state_signal	noncognate_state_signal	promoter_leak	active_drugs	integrases	rdfs	blocked	boolean_logic_valid	regulatory_plausibility	experimental_unknowns	diagnostic
forward	0	False	False	False			False	False	False		none	()	()	True	True	one-hot input guard is a required, unresolved sequence interface	()	No input or simultaneous inputs are blocked.
forward	0	False	False	True			False	False	False		C	()	()	True	True	exact-state gate is a required, unresolved sequence interface	()	Channel C is not enabled in State 0.
forward	0	False	True	False			False	False	False		B	()	()	True	True	exact-state gate is a required, unresolved sequence interface	()	Channel B is not enabled in State 0.
forward	0	False	True	True			False	False	False		BC	()	()	True	True	one-hot input guard is a required, unresolved sequence interface	()	No input or simultaneous inputs are blocked.
forward	0	True	False	False			False	False	False		A	('A',)	()	False	True	sensor choices have E. coli precedent; composite state AND gates are unvalidated	()	Command IntA.
forward	0	True	False	True			False	False	False		AC	()	()	True	True	one-hot input guard is a required, unresolved sequence interface	()	No input or simultaneous inputs are blocked.
forward	0	True	True	False			False	False	False		AB	()	()	True	True	one-hot input guard is a required, unresolved sequence interface	()	No input or simultaneous inputs are blocked.
forward	0	True	True	True			False	False	False		ABC	()	()	True	True	one-hot input guard is a required, unresolved sequence interface	()	No input or simultaneous inputs are blocked.
forward	1	False	False	False			False	False	False		none	()	()	True	True	one-hot input guard is a required, unresolved sequence interface	()	No input or simultaneous inputs are blocked.
forward	1	False	False	True			False	False	False		C	()	()	True	True	exact-state gate is a required, unresolved sequence interface	()	Channel C is not enabled in State 1.
forward	1	False	True	False			False	False	False		B	('B',)	()	False	True	sensor choices have E. coli precedent; composite state AND gates are unvalidated	()	Command IntB.
forward	1	False	True	True			False	False	False		BC	()	()	True	True	one-hot input guard is a required, unresolved sequence interface	()	No input or simultaneous inputs are blocked.
forward	1	True	False	False			False	False	False		A	()	()	True	True	exact-state gate is a required, unresolved sequence interface	()	Channel A is not enabled in State 1.
forward	1	True	False	True			False	False	False		AC	()	()	True	True	one-hot input guard is a required, unresolved sequence interface	()	No input or simultaneous inputs are blocked.
forward	1	True	True	False			False	False	False		AB	()	()	True	True	one-hot input guard is a required, unresolved sequence interface	()	No input or simultaneous inputs are blocked.
forward	1	True	True	True			False	False	False		ABC	()	()	True	True	one-hot input guard is a required, unresolved sequence interface	()	No input or simultaneous inputs are blocked.
